lab_x,lab_z,strain_xx,strain_yy,strain_xy,strain_error_xx,strain_error_yy,strain_error_xy
23.898758,-26.035507,0.0003225125040624095,0.0007459342843344315,0.0005986024979549605,0.0006509713716965829,0.0007128965677874349,0.0006440535295195473
23.898758,-24.627077,0.0012882789893961754,-0.0008573704618603494,0.00059940750749437,0.0004499433575154246,0.0004927452868433937,0.00044516183060114544
23.898758,-23.218393,0.0010856445723127983,9.503326529866061e-05,-0.00011382778368460016,0.0001962538182622908,0.00021492292831561458,0.00019416823815824864
23.898758,-21.809709,0.0011597105505515226,3.498174595228761e-05,0.00022597411015058604,0.00036175984129107073,0.00039617310442948463,0.00035791543645793294
23.898758,-20.401025,0.0007042646665387569,-0.0004838288286679111,0.0001928930131915973,9.347205436840801e-05,0.00010236380529237221,9.247873123894632e-05
23.898758,-18.992595,0.0005319873979445631,0.0001949018730660402,-0.00022797860295554247,0.00018315888176518447,0.00020058230491775374,0.00018121246093586154
23.898758,-17.583911,0.001137600929541578,-2.4933860991153763e-05,-0.0003525166919940067,0.00030239399417480593,0.0003311599402661771,0.00029918046740765015
23.898758,-16.175228,0.00021620291296447466,-0.0002658537979150814,-2.942553111469053e-05,6.957677714932895e-05,7.619543313880341e-05,6.883738800806321e-05
23.898758,-14.766544,-5.0167677207259416e-05,7.906206299650379e-06,0.00010886879609141054,6.279308416395931e-05,6.876642526473137e-05,6.212578500936783e-05
23.898758,-13.358114,-0.00026097468565288156,-9.11299993927326e-06,2.8169316236076e-05,0.0001008985970356622,0.00011049681544958797,9.982635238651697e-05
23.898758,-11.94943,-0.00014842333868127114,0.00023355434789863576,-7.883372948850287e-05,0.0003034402803474328,0.00033230575689361676,0.0003002156347468659
23.898758,-10.540746,-0.00038137876267834163,0.0002495811205100277,0.0002308793731026602,0.00019713883845040228,0.000215892138148447,0.00019504385327862213
23.898758,-9.1320618,-0.0002539208662169016,2.1330495518732353e-05,7.761328226929613e-05,9.390905371172638e-05,0.00010284237523493468,9.29110866109037e-05
23.898758,-7.7236318,-0.0003748434592239905,6.873969778300912e-06,0.000188766196698846,0.0001574873915716435,0.00017246875331619033,0.00015581378046198687
23.898758,-6.3149478,-0.00018870953203564117,-0.00015326781180724988,0.000123884707519195,3.941068801038695e-05,4.315972320488863e-05,3.8991872480886014e-05
23.898758,-4.9062639,-0.0001749108019995805,7.481971464444996e-05,0.00011472974795193818,8.156595954131763e-05,8.93251149490164e-05,8.069916192225877e-05
23.898758,-3.4975799,-0.00031182495577127743,0.0003702036437508243,0.00048210686682097274,0.0002354174823136178,0.0002578121288201058,0.00023291571179195306
23.898758,-2.08915,-0.0002072362963634139,-2.5395243787459397e-05,1.7381233679243834e-05,0.00011150174706515968,0.0001221086152801159,0.00011031682323880855
23.898758,-0.68046602,-0.00012128956355103919,-0.00027505597003297025,0.0002408526992041576,0.00010116229440130937,0.00011078559765264229,0.00010008724745252666
23.898758,0.72821793,0.00028684654829335055,-0.0006489055999369546,6.52411515924236e-05,0.00039536547798340823,0.00043297555703540104,0.0003911639476292875
23.898758,2.1369019,-3.9201691871457356e-05,0.00016446016645038457,0.00016396453948330986,0.00020316447928193007,0.00022249098235923036,0.00020100545990762935
23.898758,3.5453318,-8.099900880856927e-05,-0.00023923561014374195,0.0002857363034713423,7.148254510548373e-05,7.82824917931072e-05,7.072290345784275e-05
23.898758,4.9540158,0.00015836881798747627,-7.608559366900932e-06,6.886001660899542e-05,0.00021049148255097903,0.0002305149841972282,0.00020825459945786494
23.898758,6.3626998,0.0003685395509729844,-7.596176060188075e-06,0.00012732999514604543,0.00020380058190427636,0.00022318759575220976,0.0002016348026974837
23.898758,7.7713837,0.00031912986292955743,-7.822104857166936e-05,0.00037915521745694904,8.45671624925283e-05,9.261181445078357e-05,8.366847123056419e-05
23.898758,9.1798137,0.0006059258705877582,-0.00028496619043833583,0.00021971159243619096,9.738518516170754e-05,0.00010664918193608657,9.635027737569245e-05
23.898758,10.588498,-0.0005472134011555073,-0.0011392169849596253,0.00045678162132659956,0.000795757527581783,0.000871455850243405,0.0007873010497386095
21.834957,-30.261559,0.002253103718565051,0.0008874307542848706,0.0003549559762177719,0.0009791793675631255,0.0010723261278883609,0.0009687736744308011
21.834957,-28.852875,0.0010817010611653157,0.00023060262795082271,0.0017584316730720885,0.0007681788579139467,0.0008412536941898766,0.0007600154572902927
21.834957,-27.444191,0.0005751528072885897,6.2580356637768e-05,0.0010387676212596374,0.0006018346952242419,0.0006590856483928452,0.0005954390262031295
21.834957,-26.035507,0.0008366334146424586,6.016637468227156e-05,2.7156023491469636e-05,0.00028629116326363464,0.0003135252893631246,0.00028324876052487696
21.834957,-24.627077,0.000804628669342162,0.00019826662865236395,0.00021315476036830007,0.00018765070795203484,0.00020550142672643,0.00018565655269640118
21.834957,-23.218393,0.0008695000415214037,0.0003645219461162812,-0.00010110931945679443,0.00013921200135782387,0.00015245487325220877,0.0001377326019616118
21.834957,-21.809709,0.0008109682606854818,0.0005160835810358551,-0.0005118236153037096,0.00031212826032930066,0.0003418202015823531,0.00030881128797518616
21.834957,-20.401025,0.0008037351250959725,-4.263672329045208e-05,0.00019473263912972425,0.00013487542279332217,0.00014770576736372658,0.00013344210801317688
21.834957,-18.992595,0.0007880569357725423,-0.00015826082267008542,-2.231714667638537e-05,9.780388790899886e-05,0.00010710771477529332,9.676453058810329e-05
21.834957,-17.583911,0.0006467361211592733,-0.0005850433350039751,-0.00016779899320068376,0.00019243974585666162,0.00021074603322270913,0.00019039469772018955
21.834957,-16.175228,0.00022944803689358963,3.203707833829671e-05,-1.118888365079226e-05,9.63629301769835e-05,0.00010552968252055293,9.533888584639355e-05
21.834957,-14.766544,0.000217478904793292,-0.00020941780023297365,0.00012011231706640491,0.00020007004726335894,0.0002191021851536973,0.00019794391227281034
21.834957,-13.358114,0.00013617195582017296,0.0003767391234550551,-0.00029459638192593,0.0003062088669468395,0.000335337711861854,0.0003029547997076081
21.834957,-11.94943,-0.00024177819892083128,0.00027244591782960877,2.658848072951563e-05,0.00011320647931363377,0.00012397551422814375,0.00011200343937768639
21.834957,-10.540746,-0.00027355424002633736,0.00028522576048680174,6.826040475351221e-08,0.0002619715350752534,0.0002868921988475499,0.0002591875758823667
21.834957,-9.1320618,-0.0003260324648724606,0.00035705070937435974,3.584490589476001e-06,0.00019103664210113851,0.00020920945589455688,0.00018900650468292628
21.834957,-7.7236318,-0.0006142462457520211,0.0007174398680128528,0.00035446280557997897,0.00024635706356333683,0.0002697923636884111,0.00024373903862470834
21.834957,-6.3149478,-0.00020149086121890213,0.00020187441228785923,0.0002546541638271645,0.00015436725057562216,0.00016905180150632608,0.00015272679705822566
21.834957,-4.9062639,-0.00037202829871951424,0.0005720246310619734,0.0003393424623555768,0.00023991123461335203,0.00026273335996871106,0.00023736170919662727
21.834957,-3.4975799,-0.0002461570001515865,2.244382113211306e-05,0.000388585503079392,0.00021438875621484328,0.0002347829952632311,0.00021211045697764556
21.834957,-2.08915,-0.00012739825049443217,0.00027464404654568435,8.306103740567975e-05,0.00027433006896640457,0.00030042636759543045,0.00027141477621491443
21.834957,-0.68046602,0.00018622272879128293,1.355468508451591e-05,-4.638820390834742e-05,0.00019147026652444117,0.0002096843298695641,0.00018943552099947455
21.834957,0.72821793,-4.784820674126555e-05,-1.4393013715720944e-05,0.00023615129380440898,8.863382122278967e-05,9.706532374065328e-05,8.769191376973829e-05
21.834957,2.1369019,6.725091018385596e-05,-0.00029914011245914506,0.00022137810419075451,8.389192294985883e-05,9.187234114491347e-05,8.300040742691868e-05
21.834957,3.5453318,0.00011126061860884502,-7.452079216646857e-05,0.00024854262502184594,0.00014031093550716977,0.00015365834611930115,0.00013881985778896756
21.834957,4.9540158,5.9877980302232865e-05,-0.00019050459548729666,0.00041854170902088717,0.00012359110674140867,0.00013534800397656079,0.00012227770985772198
21.834957,6.3626998,0.0006094068581973611,-0.00026031155486214375,0.00031678107925833316,0.0002936856736764159,0.00032162322012190285,0.0002905646898227736
21.834957,7.7713837,0.00041825033932703007,1.576038184819143e-06,0.0003345129842691743,0.00019991551965525616,0.00021893295774012324,0.0001977910268220855
21.834957,9.1798137,0.0004005559001116979,0.00036350671645956343,0.00018453245188546655,0.00023963790720509876,0.0002624340316428434,0.00023709128642609772
21.834957,10.588498,-0.0014682973622207646,-0.0011689657008522186,-0.00017015032150701463,0.0013034247678398877,0.0014274161411063253,0.0012895733340940099
19.771156,-30.261559,-0.0017156151795345172,-0.0007151227818028083,-0.0005001586977059056,0.0013787101577199914,0.0015098632323197478,0.0013640586696661054
