lab_x,lab_z,dial_x,dial_z
15.643555,-7.723632,25.821777,21.276368
15.643555,-6.314948,25.821777,22.685052
15.643555,-4.906264,25.821777,24.093736
15.643555,-3.497580,25.821777,25.502420
15.643555,-2.089150,25.821777,26.910850
15.643555,-0.680466,25.821777,28.319534
15.643555,0.728218,25.821777,29.728218
15.643555,2.136902,25.821777,31.136902
15.643555,3.545332,25.821777,32.545332
15.643555,4.954016,25.821777,33.954016
15.643555,6.362700,25.821777,35.362700
15.643555,7.771384,25.821777,36.771384
15.643555,9.179814,25.821777,38.179814
15.643555,10.588498,25.821777,39.588498
13.579754,-30.261559,24.789877,-1.261559
13.579754,-28.852875,24.789877,0.147125
13.579754,-27.444191,24.789877,1.555809
13.579754,-26.035507,24.789877,2.964493
13.579754,-24.627077,24.789877,4.372923
13.579754,-23.218393,24.789877,5.781607
13.579754,-21.809709,24.789877,7.190291
13.579754,-20.401025,24.789877,8.598975
13.579754,-18.992595,24.789877,10.007405
13.579754,-17.583911,24.789877,11.416089
13.579754,-16.175228,24.789877,12.824772
13.579754,-14.766544,24.789877,14.233456
13.579754,-13.358114,24.789877,15.641886
13.579754,-11.949430,24.789877,17.050570
13.579754,-10.540746,24.789877,18.459254
13.579754,-9.132062,24.789877,19.867938
13.579754,-7.723632,24.789877,21.276368
13.579754,-6.314948,24.789877,22.685052
13.579754,-4.906264,24.789877,24.093736
13.579754,-3.497580,24.789877,25.502420
13.579754,-2.089150,24.789877,26.910850
13.579754,-0.680466,24.789877,28.319534
13.579754,0.728218,24.789877,29.728218
13.579754,2.136902,24.789877,31.136902
13.579754,3.545332,24.789877,32.545332
13.579754,4.954016,24.789877,33.954016
13.579754,6.362700,24.789877,35.362700
13.579754,7.771384,24.789877,36.771384
13.579754,9.179814,24.789877,38.179814
13.579754,10.588498,24.789877,39.588498
11.515953,-30.261559,23.757976,-1.261559
11.515953,-28.852875,23.757976,0.147125
11.515953,-27.444191,23.757976,1.555809
11.515953,-26.035507,23.757976,2.964493
11.515953,-24.627077,23.757976,4.372923
11.515953,-23.218393,23.757976,5.781607
11.515953,-21.809709,23.757976,7.190291
11.515953,-20.401025,23.757976,8.598975
11.515953,-18.992595,23.757976,10.007405
11.515953,-17.583911,23.757976,11.416089
11.515953,-16.175228,23.757976,12.824772
11.515953,-14.766544,23.757976,14.233456
11.515953,-13.358114,23.757976,15.641886
11.515953,-11.949430,23.757976,17.050570
11.515953,-10.540746,23.757976,18.459254
11.515953,-9.132062,23.757976,19.867938
11.515953,-7.723632,23.757976,21.276368
11.515953,-6.314948,23.757976,22.685052
11.515953,-4.906264,23.757976,24.093736
11.515953,-3.497580,23.757976,25.502420
11.515953,-2.089150,23.757976,26.910850
11.515953,-0.680466,23.757976,28.319534
11.515953,0.728218,23.757976,29.728218
11.515953,2.136902,23.757976,31.136902
11.515953,3.545332,23.757976,32.545332
11.515953,4.954016,23.757976,33.954016
11.515953,6.362700,23.757976,35.362700
11.515953,7.771384,23.757976,36.771384
11.515953,9.179814,23.757976,38.179814
11.515953,10.588498,23.757976,39.588498
9.452153,-30.261559,22.726076,-1.261559
9.452153,-28.852875,22.726076,0.147125
9.452153,-27.444191,22.726076,1.555809
9.452153,-26.035507,22.726076,2.964493
9.452153,-24.627077,22.726076,4.372923
9.452153,-23.218393,22.726076,5.781607
9.452153,-21.809709,22.726076,7.190291
9.452153,-20.401025,22.726076,8.598975
9.452153,-18.992595,22.726076,10.007405
9.452153,-17.583911,22.726076,11.416089
9.452153,-16.175228,22.726076,12.824772
9.452153,-14.766544,22.726076,14.233456
9.452153,-13.358114,22.726076,15.641886
9.452153,-11.949430,22.726076,17.050570
9.452153,-10.540746,22.726076,18.459254
9.452153,-9.132062,22.726076,19.867938
9.452153,-7.723632,22.726076,21.276368
